epoch,step,train_loss,val_dice,best_dice,lr
1,240,0.6002980448305607,0.7984811067581177,0.7984811067581177,4.9950668210706795e-06
2,480,0.5969049662351609,0.7978776097297668,0.7984811067581177,4.980286753286196e-06
3,720,0.6005766915778319,0.7999544739723206,0.7999544739723206,4.9557181268217225e-06
4,960,0.5903083881984155,0.7985166907310486,0.7999544739723206,4.921457902821578e-06
5,1200,0.5918946559230487,0.7989637851715088,0.7999544739723206,4.8776412907378845e-06
6,1440,0.5919387381523847,0.799132227897644,0.7999544739723206,4.824441214720629e-06
7,1680,0.5982662708808978,0.7979409694671631,0.7999544739723206,4.76206763116505e-06
8,1920,0.6036485765129328,0.7988417148590088,0.7999544739723206,4.690766700109659e-06
9,2160,0.5996036066363255,0.7990122437477112,0.7999544739723206,4.610819813755038e-06
10,2400,0.6044471750656764,0.7981339693069458,0.7999544739723206,4.522542485937369e-06
11,2640,0.6010616822789113,0.798466682434082,0.7999544739723206,4.426283106939474e-06
12,2880,0.6044387978812059,0.798679530620575,0.7999544739723206,4.322421568553529e-06
13,3120,0.5934174861758947,0.7980015277862549,0.7999544739723206,4.211367764821722e-06
14,3360,0.5934840256969134,0.798217236995697,0.7999544739723206,4.093559974371725e-06
15,3600,0.5948054846376181,0.799026370048523,0.7999544739723206,3.969463130731184e-06
16,3840,0.6000840311249097,0.7986162900924683,0.7999544739723206,3.839566987447492e-06
17,4080,0.5987358811000983,0.7984464168548584,0.7999544739723206,3.704384185254289e-06
18,4320,0.596645570670565,0.7984282374382019,0.7999544739723206,3.564448228912682e-06
19,4560,0.5976403128355742,0.7985946536064148,0.7999544739723206,3.4203113817116955e-06
20,4800,0.5988346401602029,0.7985398769378662,0.7999544739723206,3.272542485937369e-06
